100-100	0.0	6.43	3.28	1.96
100-100	2.5e-05	11.60	3.14	3.69
100-100	5e-05	7.01	3.40	2.06
100-100	7.5e-05	10.95	3.21	3.41
100-100	0.0001	17.75	3.44	5.16
100-100	0.000125	11.58	3.39	3.41
100-100	0.00015	15.14	3.36	4.50
100-100	0.000175	9.57	3.33	2.87
100-100	0.0002	10.55	3.42	3.08
100-100	0.000225	6.38	3.91	1.63
100-100	0.00025	7.40	4.07	1.82
100-100	0.000275	6.24	3.71	1.68
100-100	0.0003	7.93	3.92	2.02
100-100	0.000325	4.90	3.49	1.40
100-100	0.00035	6.30	3.70	1.70
100-100	0.000375	6.36	3.26	1.95
100-100	0.0004	5.50	3.95	1.39
100-100-100	0.0	48.36	3.87	12.50
100-100-100	2.5e-05	58.53	17.44	3.36
100-100-100	5e-05	98.02	32.02	3.06
100-100-100	7.5e-05	139.96	21.94	6.38
100-100-100	0.0001	156.27	7.37	21.20
100-100-100	0.000125	689.22	97.40	7.08
100-100-100	0.00015	91.12	37.59	2.42
100-100-100	0.000175	81.75	55.10	1.48
100-100-100	0.0002	82.60	15.29	5.40
100-100-100-100	0.0	199.23	4.13	48.21
100-100-100-100	2.5e-05	491.18	109.57	4.48
100-100-100-100	5e-05	429.55	167.30	2.57
100-100-100-100	7.5e-05	1368.36	6.87	199.13
100-100-100-100	0.00015	7717.88	2178.74	3.54
100-100-100-100	0.000175	1439.58	547.39	2.63
100-100-100-100	0.0002	439.98	1066.64	0.41
100-100-100-100-100	0.0002	4338.20	3405.54	1.27
200-200	0.0	26.22	6.65	3.94
200-200	2.5e-05	25.06	7.10	3.53
200-200	5e-05	89.51	7.16	12.50
200-200	7.5e-05	143.20	7.86	18.23
200-200	0.0001	135.50	8.94	15.16
200-200	0.000125	81.10	7.77	10.44
200-200	0.00015	36.39	10.15	3.59
200-200	0.000175	18.36	8.03	2.29
200-200	0.0002	22.30	7.53	2.96
400-400	0.0	107.04	14.74	7.26
400-400	2.5e-05	241.28	14.33	16.84
400-400	5e-05	1089.91	20.40	53.44
400-400	7.5e-05	1171.82	209.88	5.58
400-400	0.0001	361.31	236.09	1.53
400-400	0.000125	93.65	54.20	1.73
400-400	0.00015	98.34	24.34	4.04
400-400	0.000175	55.59	18.67	2.98
400-400	0.0002	70.64	28.47	2.48
800-800	0.0	5260.30	37.52	140.20
800-800	2.5e-05	8704.81	38.28	227.41
800-800	7.5e-05	3248.41	1418.83	2.29
800-800	0.0001	688.60	289.14	2.38
800-800	0.000125	412.15	43.35	9.51
800-800	0.00015	309.68	73.73	4.20
800-800	0.000175	170.61	43.44	3.93
800-800	0.0002	156.40	83.85	1.87
total:  15.486140781890139
